City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vao,NC,2020-10-20 04:06:47,-22.67,167.48,73.11,77,39,19.19
1,Hilo,US,2020-10-20 04:06:47,19.73,-155.09,80.6,65,1,9.17
2,Hermanus,ZA,2020-10-20 04:05:57,-34.42,19.23,57.99,86,31,4.0
3,Avarua,CK,2020-10-20 04:06:47,-21.21,-159.78,78.8,78,61,3.36
4,Ushuaia,AR,2020-10-20 04:06:47,-54.8,-68.3,35.6,89,75,34.45
5,Punta Arenas,CL,2020-10-20 04:06:48,-53.15,-70.92,39.2,69,20,16.11
6,Kapaa,US,2020-10-20 04:06:48,22.08,-159.32,82.4,69,40,6.93
7,Longyearbyen,SJ,2020-10-20 04:06:48,78.22,15.64,28.4,68,75,3.36
8,Namatanai,PG,2020-10-20 04:05:48,-3.67,152.43,84.78,69,97,2.01
9,Upernavik,GL,2020-10-20 04:06:48,72.79,-56.15,33.21,91,100,6.08
10,Port Hedland,AU,2020-10-20 04:06:49,-20.32,118.57,86.0,58,0,14.99
11,Rikitea,PF,2020-10-20 04:06:49,-23.12,-134.97,74.25,77,0,11.7
12,Albany,US,2020-10-20 04:06:49,42.6,-73.97,57.0,79,100,8.37
13,Sao Filipe,CV,2020-10-20 04:01:57,14.9,-24.5,81.28,72,23,4.85
14,Hithadhoo,MV,2020-10-20 04:06:49,-0.6,73.08,82.67,78,89,12.84
15,East London,ZA,2020-10-20 04:06:49,-33.02,27.91,60.8,77,40,17.22
16,Tayshet,RU,2020-10-20 04:06:50,55.93,98.0,33.71,78,100,9.98
17,Esperance,AU,2020-10-20 04:06:50,-33.87,121.9,68.0,82,75,11.41
18,Severo-Kurilsk,RU,2020-10-20 04:06:50,50.68,156.12,41.36,67,90,16.84
19,Luderitz,NA,2020-10-20 04:06:50,-26.65,15.16,57.27,68,0,22.1
20,Jamestown,US,2020-10-20 04:06:51,42.1,-79.24,53.01,100,90,4.7
21,Megion,RU,2020-10-20 04:06:51,61.03,76.11,32.0,99,90,6.71
22,Iqaluit,CA,2020-10-20 04:06:51,63.75,-68.51,24.8,85,90,9.17
23,Lavrentiya,RU,2020-10-20 04:06:51,65.58,-171.0,33.69,81,1,5.12
24,Ngerengere,TZ,2020-10-20 04:06:52,-6.75,38.12,68.0,94,75,0.65
25,Arlit,NE,2020-10-20 04:06:52,18.74,7.39,84.27,14,0,9.31
26,Collipulli,CL,2020-10-20 04:06:52,-37.95,-72.43,40.55,80,39,4.03
27,Denpasar,ID,2020-10-20 04:03:39,-8.65,115.22,84.2,74,75,9.17
28,Salalah,OM,2020-10-20 04:06:52,17.02,54.09,78.8,57,40,2.24
29,Cape Town,ZA,2020-10-20 04:06:53,-33.93,18.42,59.0,93,75,2.24
30,Butaritari,KI,2020-10-20 04:06:53,3.07,172.79,82.53,76,100,11.36
31,Faanui,PF,2020-10-20 04:06:53,-16.48,-151.75,79.41,78,31,18.84
32,Oskarshamn,SE,2020-10-20 04:06:53,57.26,16.45,32.0,75,93,3.29
33,Ancud,CL,2020-10-20 04:06:53,-41.87,-73.82,44.01,93,75,6.93
34,Xinzhou,CN,2020-10-20 04:06:54,38.41,112.73,64.26,28,100,7.4
35,Cherskiy,RU,2020-10-20 04:06:54,68.75,161.3,22.48,94,73,3.31
36,Manaure,CO,2020-10-20 04:06:54,11.78,-72.44,83.37,77,99,6.6
37,Pochutla,MX,2020-10-20 04:06:54,15.74,-96.47,78.01,85,61,3.8
38,Qaanaaq,GL,2020-10-20 04:06:55,77.48,-69.36,29.21,86,73,8.95
39,Hovd,MN,2020-10-20 04:06:55,48.01,91.64,29.98,79,23,2.77
40,Dryden,CA,2020-10-20 04:06:55,49.78,-92.75,24.8,73,1,6.93
41,Esna,EG,2020-10-20 04:06:55,25.29,32.55,73.4,38,0,4.7
42,Vaini,TO,2020-10-20 04:02:05,-21.2,-175.2,77.0,65,20,11.41
43,Mahebourg,MU,2020-10-20 04:04:44,-20.41,57.7,75.2,78,40,11.41
44,Dunedin,NZ,2020-10-20 04:06:56,-45.87,170.5,51.01,71,94,11.99
45,Lypova Dolyna,UA,2020-10-20 04:06:56,50.56,33.8,36.41,83,0,7.67
46,Saint-Lo,FR,2020-10-20 04:06:56,49.12,-1.09,57.2,71,100,13.87
47,Abu Kamal,SY,2020-10-20 04:06:56,34.45,40.92,68.59,28,22,6.49
48,Ermioni,GR,2020-10-20 04:06:57,37.39,23.24,64.38,62,31,9.95
49,Saint-Augustin,CA,2020-10-20 04:06:57,51.23,-58.65,44.08,79,96,5.86
50,Praia,CV,2020-10-20 04:06:57,14.92,-23.51,78.8,69,63,8.05
51,Mataura,NZ,2020-10-20 04:06:57,-46.19,168.86,52.0,68,89,11.01
52,Flin Flon,CA,2020-10-20 04:06:57,54.77,-101.86,23.43,91,23,3.67
53,Norman Wells,CA,2020-10-20 04:06:58,65.28,-126.83,14.0,85,40,10.29
54,Oum Hadjer,TD,2020-10-20 04:06:58,13.3,19.7,80.74,26,0,5.79
55,Port Alfred,ZA,2020-10-20 04:06:58,-33.59,26.89,61.81,73,11,20.96
56,Kodiak,US,2020-10-20 04:06:58,57.79,-152.41,42.8,60,20,8.05
57,Magdalena,PH,2020-10-20 04:06:59,14.2,121.43,80.6,94,90,2.24
58,Nurota,UZ,2020-10-20 04:06:59,40.56,65.69,51.8,53,0,4.7
59,Saint-Philippe,RE,2020-10-20 04:06:59,-21.36,55.77,78.8,44,35,3.36
60,Mackay,AU,2020-10-20 04:06:43,-21.15,149.2,86.0,51,0,16.11
61,Yellowknife,CA,2020-10-20 04:06:59,62.46,-114.35,26.6,79,90,2.24
62,Clyde River,CA,2020-10-20 04:07:00,70.47,-68.59,32.0,91,90,16.11
63,Mocuba,MZ,2020-10-20 04:07:00,-16.84,36.99,71.13,83,2,2.1
64,Busselton,AU,2020-10-20 04:07:00,-33.65,115.33,71.01,56,5,3.0
65,Tromso,NO,2020-10-20 04:04:01,69.65,18.96,24.8,85,0,4.7
66,Hay River,CA,2020-10-20 04:07:00,60.82,-115.8,19.4,73,20,2.24
67,Natchitoches,US,2020-10-20 04:07:01,31.77,-93.13,68.0,100,1,5.86
68,Portland,US,2020-10-20 04:02:41,45.52,-122.68,57.99,71,75,5.82
69,Nikolskoye,RU,2020-10-20 04:07:01,59.7,30.79,34.0,80,90,11.18
70,Lebu,CL,2020-10-20 04:04:54,-37.62,-73.65,47.86,77,1,14.32
71,Bluff,NZ,2020-10-20 04:07:01,-46.6,168.33,52.0,68,40,11.01
72,Hasaki,JP,2020-10-20 04:07:02,35.73,140.83,68.0,63,75,14.99
73,Victoria,HK,2020-10-20 04:06:47,22.29,114.16,80.01,60,0,13.0
74,Tuktoyaktuk,CA,2020-10-20 04:06:39,69.45,-133.04,21.2,92,90,11.41
75,Hami,CN,2020-10-20 04:07:02,42.8,93.45,56.68,34,0,2.06
76,Biedenkopf,DE,2020-10-20 04:07:02,50.92,8.53,39.0,89,90,1.01
77,Dzilam Gonzalez,MX,2020-10-20 04:07:03,21.28,-88.93,75.54,91,0,4.52
78,Havre-Saint-Pierre,CA,2020-10-20 04:07:03,50.23,-63.6,42.8,100,90,5.82
79,Zhigansk,RU,2020-10-20 04:06:52,66.77,123.37,19.38,96,100,13.51
80,Kavaratti,IN,2020-10-20 04:07:03,10.57,72.64,82.4,78,20,5.82
81,Bud,US,2020-10-20 04:07:03,39.45,-86.18,48.0,100,90,3.36
82,Kaeo,NZ,2020-10-20 04:07:04,-35.1,173.78,65.68,64,99,10.69
83,Nampula,MZ,2020-10-20 04:07:04,-15.12,39.27,72.52,76,0,2.75
84,Mar Del Plata,AR,2020-10-20 04:07:04,-38.0,-57.56,53.01,62,5,9.17
85,Pithoragarh,IN,2020-10-20 04:07:04,29.58,80.22,67.6,51,0,0.63
86,New Norfolk,AU,2020-10-20 04:07:05,-42.78,147.06,71.01,47,70,3.0
87,Yar-Sale,RU,2020-10-20 04:07:05,66.83,70.83,17.65,97,6,3.15
88,Okhotsk,RU,2020-10-20 04:03:55,59.38,143.3,27.81,77,6,20.74
89,Vestmanna,FO,2020-10-20 04:07:05,62.16,-7.17,39.2,74,5,8.05
90,Arraial Do Cabo,BR,2020-10-20 04:07:06,-22.97,-42.03,72.19,83,96,21.77
91,Asfi,MA,2020-10-20 04:07:06,32.3,-9.24,68.43,57,72,6.85
92,Erzin,TR,2020-10-20 04:07:06,36.96,36.2,64.4,100,40,2.46
93,Parry Sound,CA,2020-10-20 04:07:06,45.35,-80.03,45.0,96,100,1.99
94,Bilma,NE,2020-10-20 04:07:06,18.69,12.92,75.42,19,0,1.5
95,Port Elizabeth,ZA,2020-10-20 04:07:07,-33.92,25.57,60.8,72,70,20.8
96,Hobart,AU,2020-10-20 04:05:27,-42.88,147.33,71.01,59,20,13.87
97,Dawei,MM,2020-10-20 04:07:07,14.08,98.2,80.29,80,100,4.54
98,Tasiilaq,GL,2020-10-20 04:05:31,65.61,-37.64,26.6,100,86,4.7
99,Richards Bay,ZA,2020-10-20 04:07:07,-28.78,32.04,70.59,91,45,4.45
100,Kruisfontein,ZA,2020-10-20 04:07:08,-34.0,24.73,60.01,63,53,1.99
101,Knysna,ZA,2020-10-20 04:07:08,-34.04,23.05,53.6,76,40,13.87
102,Chuy,UY,2020-10-20 04:07:08,-33.7,-53.46,63.39,85,9,14.09
103,Auki,SB,2020-10-20 04:03:37,-8.77,160.7,84.58,74,94,2.17
104,Fairbanks,US,2020-10-20 04:05:01,64.84,-147.72,21.99,85,90,1.99
105,Deshnok,IN,2020-10-20 04:07:09,27.8,73.34,88.36,36,0,7.96
106,Dhanera,IN,2020-10-20 04:07:09,24.52,72.02,87.1,60,0,1.66
107,Cidreira,BR,2020-10-20 04:07:09,-30.18,-50.21,66.69,93,1,12.17
108,Avera,US,2020-10-20 04:03:25,33.19,-82.53,62.6,100,1,4.7
109,Le Port,RE,2020-10-20 04:07:10,-20.94,55.29,77.0,61,2,18.34
110,Tekeli,KZ,2020-10-20 04:07:10,44.83,78.82,63.37,23,0,4.0
111,Micheweni,TZ,2020-10-20 04:07:10,-4.97,39.83,77.94,77,25,8.5
112,Nanortalik,GL,2020-10-20 04:07:10,60.14,-45.24,35.02,91,100,3.38
113,San Cristobal,VE,2020-10-20 04:07:10,7.77,-72.22,67.17,83,95,1.54
114,Barrow,US,2020-10-20 04:04:16,71.29,-156.79,24.8,79,90,11.41
115,Herford,DE,2020-10-20 04:07:11,52.13,8.68,45.0,75,100,11.1
116,Constantine,DZ,2020-10-20 04:07:11,36.37,6.61,46.4,70,1,2.24
117,San Jose De Rio Tinto,HN,2020-10-20 04:07:11,14.93,-85.7,71.44,89,97,2.8
118,Eureka,US,2020-10-20 04:03:32,40.8,-124.16,55.0,92,7,6.02
119,Choszczno,PL,2020-10-20 04:07:12,53.17,15.42,45.0,100,100,8.05
120,Atuona,PF,2020-10-20 04:07:12,-9.8,-139.03,78.57,75,1,18.43
121,Russell,US,2020-10-20 04:07:12,32.35,-85.2,68.0,93,1,3.36
122,Roald,NO,2020-10-20 04:07:12,62.58,6.13,41.0,56,73,11.41
123,Lasa,IT,2020-10-20 04:07:12,46.62,10.7,46.0,50,5,2.24
124,Kamaishi,JP,2020-10-20 04:07:13,39.27,141.88,64.4,39,20,2.24
125,Saskylakh,RU,2020-10-20 04:07:13,71.92,114.08,23.27,98,87,3.91
126,Mogadishu,SO,2020-10-20 04:02:16,2.04,45.34,79.63,82,15,11.7
127,Chokurdakh,RU,2020-10-20 04:07:13,70.63,147.92,16.36,98,95,5.91
128,Mount Gambier,AU,2020-10-20 04:07:14,-37.83,140.77,59.0,62,90,8.05
129,Tiksi,RU,2020-10-20 04:07:14,71.69,128.87,14.86,92,100,23.73
130,Kepno,PL,2020-10-20 04:07:14,51.28,17.99,39.99,95,30,1.01
131,Namie,JP,2020-10-20 04:07:14,37.48,141.0,66.0,67,47,1.01
132,Vila Velha,BR,2020-10-20 04:07:14,-20.33,-40.29,71.01,94,75,4.7
133,Yulara,AU,2020-10-20 04:07:15,-25.24,130.99,86.0,42,22,11.41
134,Cairns,AU,2020-10-20 04:04:21,-16.92,145.77,86.0,62,3,9.17
135,Berlevag,NO,2020-10-20 04:07:15,70.86,29.09,37.4,79,40,17.22
136,Luwuk,ID,2020-10-20 04:07:15,-0.95,122.79,86.74,60,100,7.74
137,Giyani,ZA,2020-10-20 04:07:15,-23.3,30.72,72.84,36,0,3.15
138,Nantucket,US,2020-10-20 04:04:05,41.28,-70.1,57.0,83,90,3.36
139,Bengkulu,ID,2020-10-20 04:07:16,-3.8,102.27,85.46,62,100,2.93
140,Saint Anthony,US,2020-10-20 04:07:16,45.02,-93.22,32.0,100,75,3.65
141,Sao Joao Da Barra,BR,2020-10-20 04:07:16,-21.64,-41.05,72.09,85,100,11.14
142,Ambon,ID,2020-10-20 04:07:17,-3.7,128.18,87.8,66,75,8.05
143,Georgetown,MY,2020-10-20 04:07:17,5.41,100.34,86.0,74,20,4.7
144,Huarmey,PE,2020-10-20 04:07:17,-10.07,-78.15,62.33,85,2,6.38
145,Tecoanapa,MX,2020-10-20 04:07:17,16.52,-98.75,80.82,82,16,5.84
146,Ixtapa,MX,2020-10-20 04:07:17,20.7,-105.2,84.2,79,75,1.14
147,Ponta Do Sol,PT,2020-10-20 04:05:29,32.67,-17.1,66.0,90,100,1.99
148,Bethel,US,2020-10-20 04:07:18,41.37,-73.41,53.6,93,1,3.44
149,Thompson,CA,2020-10-20 04:03:08,55.74,-97.86,26.6,73,90,5.82
150,Neufchateau,FR,2020-10-20 04:07:18,48.35,5.7,51.8,76,78,8.05
151,Olafsvik,IS,2020-10-20 04:07:18,64.89,-23.71,38.64,75,60,7.83
152,Westport,US,2020-10-20 04:05:57,41.14,-73.36,59.0,87,40,4.7
153,Saint-Joseph,RE,2020-10-20 04:07:19,-21.37,55.62,78.8,44,16,3.36
154,Port-Gentil,GA,2020-10-20 04:07:19,-0.72,8.78,78.51,85,82,12.12
155,Sur,OM,2020-10-20 04:07:19,22.57,59.53,82.85,48,10,13.0
156,Marienburg,PL,2020-10-20 04:07:19,54.04,19.03,41.0,100,77,5.77
157,Odesskoye,RU,2020-10-20 04:07:20,54.21,72.97,48.15,72,100,9.75
158,Pirovskoye,RU,2020-10-20 04:07:20,57.63,92.27,31.77,97,100,12.21
159,Faya,SA,2020-10-20 04:07:20,18.39,42.45,53.6,27,0,5.82
160,Boca Del Rio,MX,2020-10-20 04:02:55,19.1,-96.1,81.0,88,20,5.82
161,Takoradi,GH,2020-10-20 04:07:20,4.88,-1.76,76.53,89,83,6.82
162,Portel,BR,2020-10-20 04:07:21,-1.94,-50.82,75.34,91,47,4.94
163,Kavieng,PG,2020-10-20 04:07:21,-2.57,150.8,83.55,70,99,3.36
164,Vidalia,US,2020-10-20 04:07:21,32.22,-82.41,68.0,72,1,4.7
165,Torbay,CA,2020-10-20 04:05:08,47.67,-52.73,48.99,87,20,9.17
166,Inuvik,CA,2020-10-20 04:07:21,68.35,-133.72,23.0,92,90,3.36
167,Saldanha,ZA,2020-10-20 04:07:22,-33.01,17.94,51.8,81,58,1.12
168,Castro,BR,2020-10-20 04:05:31,-24.79,-50.01,63.3,91,66,9.4
169,Tilaran,CR,2020-10-20 04:07:22,10.47,-84.97,71.19,93,100,1.5
170,Gull Lake,CA,2020-10-20 04:07:22,50.1,-108.48,21.2,92,90,11.41
171,Pacific Grove,US,2020-10-20 04:07:23,36.62,-121.92,60.01,100,90,3.13
172,Dikson,RU,2020-10-20 04:07:23,73.51,80.55,24.85,94,98,16.24
173,Chany,RU,2020-10-20 04:07:23,55.31,76.76,45.73,77,100,9.53
174,Canavieiras,BR,2020-10-20 04:07:23,-15.68,-38.95,71.4,92,98,4.07
175,Robertsport,LR,2020-10-20 04:07:24,6.75,-11.37,78.37,85,13,8.21
176,Tema,GH,2020-10-20 04:07:24,5.67,-0.02,77.22,86,57,8.79
177,Kaitangata,NZ,2020-10-20 04:07:24,-46.28,169.85,54.79,51,90,7.31
178,Nizhniy Odes,RU,2020-10-20 04:07:24,63.64,54.86,31.19,98,97,5.37
179,Buluang,PH,2020-10-20 04:07:24,13.31,123.34,77.25,93,100,5.1
180,Mount Isa,AU,2020-10-20 04:05:33,-20.73,139.5,98.6,14,40,8.05
181,Rocha,UY,2020-10-20 04:07:25,-34.48,-54.33,56.95,93,94,14.5
182,Bathsheba,BB,2020-10-20 04:07:25,13.22,-59.52,80.6,78,40,4.7
183,Pevek,RU,2020-10-20 04:07:25,69.7,170.31,26.58,93,21,14.29
184,Benguela,AO,2020-10-20 04:07:26,-12.58,13.41,72.41,82,2,3.89
185,Tahta,EG,2020-10-20 04:07:26,26.77,31.5,71.6,37,0,5.82
186,Dukat,RU,2020-10-20 04:07:26,62.55,155.55,19.31,96,100,5.03
187,Lagos,NG,2020-10-20 04:07:26,6.58,3.75,76.32,94,74,2.73
188,Cavarzere,IT,2020-10-20 04:07:26,45.14,12.08,48.0,94,100,2.89
189,Lahij,YE,2020-10-20 04:07:27,13.17,44.58,81.46,32,0,4.56
190,Rundu,NA,2020-10-20 04:07:27,-17.93,19.77,66.2,25,0,4.59
191,Thohoyandou,ZA,2020-10-20 04:07:27,-22.95,30.48,70.47,32,0,2.37
192,Kupang,ID,2020-10-20 04:07:27,-10.17,123.58,93.2,44,20,8.05
193,Palmer,US,2020-10-20 04:05:06,42.16,-72.33,54.0,87,90,3.36
194,Labuhan,ID,2020-10-20 04:07:28,-6.88,112.21,87.62,61,32,11.59
195,Male,MV,2020-10-20 04:05:00,4.17,73.51,86.0,74,75,13.87
196,Dingle,PH,2020-10-20 04:02:55,11.0,122.67,80.26,87,100,3.58
197,Ishigaki,JP,2020-10-20 04:07:28,24.34,124.16,84.2,79,75,21.92
198,Hamilton,US,2020-10-20 04:07:29,39.18,-84.53,54.0,100,90,2.33
199,Canto Do Buriti,BR,2020-10-20 04:07:29,-8.11,-42.94,76.51,36,29,3.33
200,Manisa,TR,2020-10-20 04:07:29,38.83,28.17,50.22,93,7,1.36
201,Atambua,ID,2020-10-20 04:07:29,-9.11,124.89,89.24,39,3,1.1
202,Mitsamiouli,KM,2020-10-20 04:07:30,-11.38,43.28,78.03,70,0,3.85
203,Batagay-Alyta,RU,2020-10-20 04:07:30,67.8,130.41,14.4,94,100,2.91
204,Preston,GB,2020-10-20 04:07:30,53.77,-2.72,51.01,88,100,5.01
205,Cabo San Lucas,MX,2020-10-20 04:07:30,22.89,-109.91,82.99,74,5,4.7
206,Baghdad,IQ,2020-10-20 04:07:30,33.34,44.4,62.6,39,0,5.82
207,Laguna,US,2020-10-20 04:07:31,38.42,-121.42,71.6,43,1,4.27
208,Makokou,GA,2020-10-20 04:07:31,0.57,12.86,68.77,98,100,1.86
209,Keelung,TW,2020-10-20 04:07:31,25.13,121.74,77.0,83,75,17.22
210,Marsa Matruh,EG,2020-10-20 04:07:31,31.35,27.25,69.8,73,49,3.98
211,Darhan,MN,2020-10-20 04:07:31,49.49,105.92,32.32,76,94,16.31
212,Kahului,US,2020-10-20 04:07:04,20.89,-156.47,87.8,48,20,8.05
213,Montigny-Les-Cormeilles,FR,2020-10-20 04:07:32,48.99,2.2,54.0,76,100,6.93
214,Ashdod,IL,2020-10-20 04:07:32,31.82,34.65,71.01,83,8,1.12
215,Buala,SB,2020-10-20 04:07:32,-8.14,159.59,85.06,71,94,2.57
216,Carnarvon,AU,2020-10-20 04:02:39,-24.87,113.63,75.2,60,72,18.34
217,Binay,PH,2020-10-20 04:07:33,13.5,122.6,76.77,95,100,8.52
218,Saint George,US,2020-10-20 04:07:33,37.1,-113.58,73.4,13,1,1.81
219,Port Hardy,CA,2020-10-20 04:07:33,50.7,-127.42,44.6,93,40,4.7
220,Madison,US,2020-10-20 04:04:45,34.73,-86.57,66.2,82,1,4.7
221,Bubaque,GW,2020-10-20 04:07:34,11.28,-15.83,82.33,86,45,7.27
222,Aksu,CN,2020-10-20 04:07:34,41.12,80.26,60.33,31,0,0.78
223,Nicoya,CR,2020-10-20 04:07:34,10.15,-85.45,75.31,91,100,2.66
224,Sindor,RU,2020-10-20 04:07:35,62.86,51.89,31.17,98,99,6.29
225,Bandarbeyla,SO,2020-10-20 04:07:35,9.49,50.81,80.33,57,13,6.49
226,Razole,IN,2020-10-20 04:07:35,16.48,81.83,77.2,93,100,3.58
227,Praya,CV,2020-10-20 04:04:01,14.92,-23.51,78.8,69,63,8.05
228,Khatanga,RU,2020-10-20 04:07:35,71.97,102.5,13.39,97,81,5.77
229,Bredasdorp,ZA,2020-10-20 04:07:36,-34.53,20.04,55.4,87,53,9.17
230,Kropotkin,RU,2020-10-20 04:07:36,45.44,40.58,51.01,90,54,5.06
231,Nisia Floresta,BR,2020-10-20 04:07:36,-6.09,-35.21,73.4,88,40,3.36
232,Isangel,VU,2020-10-20 04:07:36,-19.55,169.27,80.6,65,90,1.12
233,Mnogovershinnyy,RU,2020-10-20 04:07:36,53.94,139.92,33.12,84,5,18.88
234,Hambantota,LK,2020-10-20 04:07:37,6.12,81.12,87.8,66,20,11.41
235,Nueva Loja,EC,2020-10-20 04:07:37,0.08,-76.88,70.93,97,66,2.64
236,Muros,ES,2020-10-20 04:07:37,42.78,-9.06,61.0,90,100,7.0
237,Broome,US,2020-10-20 04:07:32,42.25,-75.83,57.0,93,90,9.17
238,Northam,GB,2020-10-20 04:07:37,51.03,-4.22,57.99,93,58,8.99
239,Leningradskiy,RU,2020-10-20 04:07:37,69.38,178.42,25.77,90,27,6.78
240,Vostok,RU,2020-10-20 04:07:38,46.49,135.88,47.03,51,0,4.41
241,Ulaangom,MN,2020-10-20 04:07:38,49.98,92.07,34.83,69,31,7.11
242,Urumqi,CN,2020-10-20 04:07:38,43.8,87.6,59.0,24,0,2.24
243,Port Lincoln,AU,2020-10-20 04:07:38,-34.73,135.87,62.35,68,81,9.13
244,Puerto Ayora,EC,2020-10-20 04:07:39,-0.74,-90.35,70.0,92,87,5.01
245,Mecca,SA,2020-10-20 04:07:39,21.43,39.83,79.0,16,0,7.83
246,Mwene-Ditu,CD,2020-10-20 04:07:39,-7.0,23.45,67.68,94,100,2.15
247,Ahipara,NZ,2020-10-20 04:07:39,-35.17,173.17,64.45,67,96,9.57
248,Preobrazheniye,RU,2020-10-20 04:07:39,42.9,133.91,58.68,53,0,3.71
249,Pisco,PE,2020-10-20 04:07:40,-13.7,-76.22,62.6,77,0,8.05
250,Lagoa,PT,2020-10-20 04:07:40,39.05,-27.98,63.19,70,2,29.57
251,Chabahar,IR,2020-10-20 04:07:40,25.29,60.64,81.03,31,0,2.53
252,Harnoli,PK,2020-10-20 04:07:40,32.28,71.55,82.31,15,0,6.31
253,Kabansk,RU,2020-10-20 04:07:40,52.05,106.65,32.0,88,75,20.13
254,Shima,CN,2020-10-20 04:07:41,24.45,117.81,77.0,57,75,15.66
255,Katsuura,JP,2020-10-20 04:07:41,35.13,140.3,68.0,56,78,5.99
256,San Andres,CO,2020-10-20 04:05:52,12.58,-81.7,80.6,88,75,6.91
257,Manokwari,ID,2020-10-20 04:07:41,-0.87,134.08,84.36,74,100,9.51
258,Jalu,LY,2020-10-20 04:02:54,29.03,21.55,67.3,76,1,10.67
259,Piracuruca,BR,2020-10-20 04:07:05,-3.93,-41.71,72.93,82,7,3.67
260,Caravelas,BR,2020-10-20 04:07:42,-17.71,-39.25,71.67,86,100,2.3
261,Beian,NO,2020-10-20 04:07:42,63.66,9.57,33.8,78,20,11.41
262,Axim,GH,2020-10-20 04:07:42,4.87,-2.24,77.0,88,76,7.0
263,Gizo,SB,2020-10-20 04:07:42,-8.1,156.84,84.81,68,80,5.26
264,Ilulissat,GL,2020-10-20 04:07:42,69.22,-51.1,37.4,74,100,6.93
265,Konevo,RU,2020-10-20 04:07:43,62.12,39.32,29.43,99,99,3.42
266,Vestmannaeyjar,IS,2020-10-20 04:07:43,63.44,-20.27,39.09,76,64,3.09
267,Chiang Rai,TH,2020-10-20 04:07:43,19.92,99.92,72.0,100,90,8.05
268,Te Anau,NZ,2020-10-20 04:07:43,-45.42,167.72,54.14,52,5,6.13
269,Wonthaggi,AU,2020-10-20 04:07:44,-38.6,145.59,64.0,71,2,8.75
270,Saint-Pierre,RE,2020-10-20 04:06:45,-21.34,55.48,78.8,44,0,3.36
271,Talnakh,RU,2020-10-20 04:07:44,69.49,88.4,14.0,85,40,6.71
272,Lazarev,RU,2020-10-20 04:07:44,52.23,141.51,38.7,62,0,14.65
273,Creel,MX,2020-10-20 04:07:45,27.75,-107.63,54.25,46,0,3.67
274,Grindavik,IS,2020-10-20 04:03:44,63.84,-22.43,32.0,72,20,6.93
